base_fccs,hex
-1111,#6F6F6F
-9999,#FFFFFF
0,#BFBFBF
1,#43A2B5
10,#005200
105,#C0FF8A
106,#FF6A2E
107,#74D6CC
109,#FF692E
11,#003300
110,#005C00
114,#023422
115,#91FF73
12,#FF3B7F
120,#91FF73
1203,#FFC66B
1223,#FFC66B
123,#55BBC2
1244,#FFC66B
1247,#FFC66B
1261,#FFC66B
1273,#D21C77
1281,#FF3B14
129,#3289A8
13,#005C00
131,#FF8940
133,#FFB05C
135,#FF8940
138,#AEF5E0
14,#00BD00
140,#AEF5E0
142,#C0FF8A
143,#C0FF8A
146,#FF9447
147,#FF9447
15,#A74600
154,#06357A
155,#FF6A2E
156,#74D6CC
157,#91FF73
16,#A74600
161,#91FF73
162,#6064DD
165,#74D6CC
166,#EB9E9C
17,#1624D9
170,#74D6CC
173,#AF1F1B
174,#AF1F1B
175,#FFAB57
176,#FFAB57
180,#3289A8
181,#74D6CC
184,#74D6CC
185,#74D6CC
186,#0D4585
188,#74D6CC
19,#BC54F2
190,#74D6CC
191,#74D6CC
196,#91FF73
2,#005200
20,#005200
203,#FF9900
208,#60FF47
21,#D20383
210,#9BEBD8
211,#3A4C61
212,#D6FFB5
213,#FFB05C
214,#00DE00
215,#003300
216,#637825
217,#06DE73
218,#F5AF36
219,#D6FFB5
22,#195D91
220,#D6FFB5
222,#D6FFB5
224,#C0FF8A
226,#737B2D
227,#695357
228,#D6FFB5
230,#BFB9B5
232,#967B59
233,#CCB687
234,#CCB687
235,#FFBF66
236,#A6B382
237,#8C7050
238,#02BFC0
24,#275872
240,#C2AA7E
243,#FA2C6C
25,#9EE6EC
26,#D6FFB5
264,#55BBC2
265,#B6FAE3
266,#ABFF8A
267,#005C00
268,#005C00
269,#9FFF80
27,#BD6EEB
270,#FF6A2E
272,#FFE200
273,#ECFCCC
274,#005C00
275,#5557C2
276,#91FF73
279,#AEF5E0
28,#D6FFB5
280,#FFAB57
281,#74D6BE
282,#91FF73
283,#19A0B4
284,#005C00
286,#D6FFB5
287,#FF692E
288,#FF7300
291,#74D6CC
30,#593B28
301,#49ABBA
302,#806145
303,#49ABBA
304,#ECFCCC
305,#43A2B5
306,#F29E28
307,#F2A830
308,#CCB687
309,#8C7050
310,#E1E1E1
311,#C2AA7E
312,#3C0205
313,#BF13E6
314,#0E2E39
315,#806145
316,#6B4D36
317,#FFD377
318,#FF7936
319,#CDD993
32,#310AB4
320,#91FF73
321,#005200
329,#195D91
331,#92EDE0
334,#195D91
335,#FF692E
336,#852708
34,#94DCC0
341,#FF491C
352,#FF9900
353,#FFCC33
354,#FF692E
356,#BAA377
357,#124C87
358,#A64C11
36,#00BD00
360,#CBFFAB
361,#CBFFAB
37,#D6FFB5
38,#3F9980
39,#9FFF80
4,#FFFFFF
40,#7DF168
401,#8C7050
402,#00ED00
403,#55BBC2
404,#124C87
405,#55BBC2
406,#124C87
407,#D6FFB5
408,#C0FF8A
409,#023422
41,#FFBF66
410,#79FF5E
411,#55BBC2
412,#49AFBC
413,#2C7FA3
414,#FF8940
416,#79FF5E
417,#FF9447
418,#9FFF80
419,#55BBC2
42,#1A2A9A
420,#FF8940
421,#79FF5E
422,#FF9447
423,#FF9447
424,#5BC3C7
425,#91FF73
426,#005C00
427,#FF6A2E
428,#16DF1C
429,#CBFFAB
43,#00BD00
430,#55BBC2
431,#79FF5E
432,#BF13E6
433,#00ED00
434,#FF9447
435,#FF9447
436,#FF8940
437,#FFAB57
438,#5BC3C7
439,#0C626E
44,#593B28
440,#5BC3C7
441,#3289A8
442,#195D91
443,#B6FAE3
445,#963A0C
448,#91FF73
449,#2C7FA3
45,#79FF5E
450,#897044
451,#91FF73
453,#FF8940
454,#124C87
455,#AEF5E0
456,#005C00
457,#74D6CC
458,#74D6CC
459,#AEF5E0
46,#63452F
460,#AEF5E0
461,#00BD00
462,#79FF5E
463,#91FF73
464,#91FF73
465,#64CCCE
466,#91FF73
467,#FF692E
468,#000635
469,#FF692E
47,#87FF69
470,#FF692E
471,#55BBC2
472,#AEF5E0
473,#FF9900
474,#BA360E
475,#FF9900
476,#FF9900
477,#FF9900
478,#0D4585
48,#003300
482,#5BC3C7
483,#FF692E
484,#523422
486,#55BBC2
487,#A68B6B
488,#852708
489,#FF692E
49,#4A2C1D
490,#D3ED26
491,#FF9900
492,#FF9900
493,#FF9900
494,#FA6438
495,#FFD277
496,#91FF73
497,#FF692E
498,#FF692E
499,#5BC3C7
5,#B5096A
500,#000000
503,#74D6CC
504,#AEF5E0
505,#523422
506,#FFC66B
507,#55BBC2
508,#002673
509,#523422
51,#A68B6B
511,#5BC3C7
512,#FF8940
513,#FF9900
514,#646464
517,#646464
518,#FF692E
519,#FF692E
52,#003300
528,#FF692E
529,#FF692E
53,#D6FFB5
530,#FF7F3B
531,#042D75
532,#FF692E
533,#FF692E
54,#003300
540,#967B59
542,#79FF5E
55,#005200
56,#CCB687
57,#FFB05C
59,#ECFCCC
6,#CBFFAB
60,#FB39DE
61,#BFFFE9
62,#8C7050
63,#847556
65,#FF491C
66,#FFE282
67,#D6FFB5
69,#005200
7,#003300
70,#E34EED
77,#B6FAE3
8,#005200
9,#60FE81
90,#55BBC2
900,#36454F
100,#FFC66B
101,#8D326F
103,#9FFF80
237,#2FC3E4
322,#005200
323,#FF692E
324,#9FFF80
325,#9FFF80
326,#49ABBA
327,#523422
328,#C24415
330,#FF0000
332,#B6FAE3
333,#FFD377
337,#33B50E
338,#51B496
339,#806145
340,#963A0C
350,#B6FAE3
351,#D48122
355,#005200
359,#FF3112
85,#3289A8
87,#3289A8
88,#3289A8
89,#3289A8
91,#9FFF80
92,#FF692E
93,#C0FF8A
94,#B6FAE3
95,#49ABBA
97,#FFFFFF
98,#523422
99,#FF7936
1245,#FFC66B
342,#FF7230
343,#A52828
344,#FB7936
345,#FF7230
346,#963A0C
347,#646464
348,#963A0C
349,#FF7230
480,#FF692E
485,#FF692E
71,#3C717E
72,#FFAB57
73,#FFAB57
74,#523422
75,#74D6CC
76,#74D6CC
78,#FF3B14
79,#B6FAE3
80,#FF8940
81,#B6FAE3
82,#FF3B14
